School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
2012-2013,0,1,0,0,3,23,5,2,5,4,0,7,205
2013-2014,0,0,1,0,1,21,5,2,6,3,0,11,248
2014-2015,0,0,1,0,2,34,3,2,8,2,0,7,271
2010-2011,25,3,29,4,0,7,137,15,136,1,19,9,141
2011-2012,31,3,22,2,2,7,177,16,181,6,14,13,140
2012-2013,50,2,18,0,2,15,246,15,172,9,10,30,150
2013-2014,48,2,20,0,5,13,314,17,190,11,7,40,137
2014-2015,69,5,22,0,8,17,443,18,228,4,7,50,139
2010-2011,3,1,0,0,0,8,3,4,1,0,0,0,75
2011-2012,1,2,0,0,1,7,10,4,2,0,0,1,88
2012-2013,2,3,0,0,1,12,11,7,4,0,1,4,96
2013-2014,2,2,0,0,0,19,12,7,3,0,0,6,94
2014-2015,6,0,1,0,2,18,16,1,9,1,1,12,174
2014-2015,0,0,1,0,0,9,1,0,1,0,0,1,29
2012-2013,0,0,1,0,0,6,1,0,4,0,0,1,28
2013-2014,0,0,1,0,0,7,0,0,2,0,0,1,25
2013-2014,0,0,0,0,0,17,3,1,6,1,0,0,188
2012-2013,0,0,0,0,0,18,5,3,4,2,0,0,183
2009-2010,0,0,0,0,0,19,1,1,5,1,0,0,179
2014-2015,19,3,3,1,4,38,84,14,27,0,1,37,292
2014-2015,59,2,24,0,10,29,180,6,100,1,2,55,232
2015-2016,1,0,1,0,0,29,1,0,1,1,0,0,217
2010-2011,19,0,1,0,0,6,76,1,4,0,0,0,39
2011-2012,29,0,1,0,0,12,97,0,9,1,0,0,46
2012-2013,41,0,0,0,0,14,110,1,7,0,0,0,55
2013-2014,66,0,5,0,0,16,206,4,17,3,0,0,80
2014-2015,123,1,6,0,0,25,307,3,24,3,0,0,123
2015-2016,143,0,6,0,0,26,379,2,15,1,0,0,130
2013-2014,13,42,12,0,8,65,72,93,65,3,0,33,594
2014-2015,24,56,15,0,6,83,102,107,75,4,1,35,693
2012-2013,39,15,9,0,3,61,186,45,51,0,1,27,537
2013-2014,62,12,10,0,5,90,219,44,57,0,1,31,576
2014-2015,90,12,15,0,10,104,322,55,71,1,1,40,588
